ctrl,variable,block_path,pin,direction,note
H12,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INC,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3"
H12,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,IND,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4"
H12,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INE,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5"
H12,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INF,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6"
H12,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,ING,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7"
H12,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INH,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8"
H12,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INI,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9"
H12,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INJ,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10"
H12,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INK,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11"
H12,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INL,I,"mirrored from H11 (same library instance), not opened in the tool; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12"
